id,name,imgurl,birthday,height,cup_size,bust,waist,hips,birthplace,hobby
1,波多野結衣,https://pics.javhoo.net/2016/02/2jv_a-1.jpg,1988-05-24,163.0,D,88.0,59.0,85.0,京都府,ゲーム
4,風間ゆみ,https://pics.javhoo.net/2016/02/2t_a.jpg,1979-02-22,160.0,F,93.0,60.0,90.0,東京都,水泳
5,JULIA,https://pics.javhoo.net/2016/02/2de_a.jpg,1987-05-25,158.0,J,101.0,55.0,84.0,,"自分磨き,簿記二級"
6,沖田杏梨,https://pics.javhoo.net/2016/02/71h_a.jpg,1986-10-28,168.0,K,101.0,59.0,92.0,イギリス,"DJ,ピアノ,サックス"
7,Rio（柚木ティナ）,https://pics.javhoo.net/2016/02/2mx_a.jpg,1986-10-29,154.0,C,84.0,58.0,83.0,東京都,"カラオケ,ポルトガル語"
8,希志あいの,https://pics.javhoo.net/2016/02/58u_a.jpg,1988-02-01,157.0,C,87.0,57.0,83.0,東京都,"ダンス,絵"
9,川菜美鈴,https://pics.javhoo.net/2016/02/i4k_a-1.jpg,1993-06-12,157.0,E,88.0,58.0,87.0,東京都,"食べ歩き,書道"
10,朝倉ことみ,https://pics.javhoo.net/2016/02/2yu_a.jpg,1987-03-11,158.0,B,76.0,57.0,81.0,神奈川県,カラオケ映画
11,工藤美紗,https://pics.javhoo.net/2016/02/6qd_a.jpg,1989-02-22,153.0,F,86.0,58.0,84.0,,
12,希崎ジェシカ,https://pics.javhoo.net/2016/02/5kp_a.jpg,1989-06-10,160.0,D,86.0,60.0,87.0,東京都,ボーリング/フルート
13,浜崎りお（森下えりか，篠原絵梨香）,https://pics.javhoo.net/2016/02/19k_a.jpg,1988-06-11,158.0,G,90.0,57.0,85.0,東京都,ネイルアート
14,友田真希,https://pics.javhoo.net/2016/02/g6_a.jpg,1972-08-20,160.0,G,90.0,59.0,88.0,東京都,料理
25,桜井あゆ,https://pics.javhoo.net/2016/02/91l_a.jpg,1991-04-15,162.0,B,82.0,59.0,81.0,宮崎県,バレーボール
26,有村千佳,https://pics.javhoo.net/2016/02/2p8_a.jpg,1990-04-15,158.0,C,85.0,58.0,88.0,東京都,ショッピング
27,川上ゆう（森野雫）,https://pics.javhoo.net/2016/02/p6_a.jpg,1982-03-03,150.0,D,84.0,60.0,83.0,東京都,"料理全般,水泳（インストラクター,元トライアスロン競技者）"
28,大槻ひびき,https://pics.javhoo.net/2016/02/2m3_a.jpg,1988-02-21,162.0,E,88.0,57.0,85.0,北海道,
29,結城みさ,https://pics.javhoo.net/2016/02/2ft_a.jpg,1979-10-01,154.0,E,87.0,59.0,85.0,,料理
30,初美沙希,https://pics.javhoo.net/2016/02/2ue_a.jpg,1990-10-15,158.0,E,86.0,58.0,86.0,東京都,"ブログ更新,カメラ,音楽"
31,澤村レイコ（高坂保奈美，高坂ますみ）,https://pics.javhoo.net/2016/02/1rc_a.jpg,1974-11-24,170.0,D,87.0,59.0,87.0,東京都,スポーツ観戦
36,かすみ果穂,https://pics.javhoo.net/2016/05/1kz_a.jpg,1984-10-14,153.0,E,85.0,58.0,82.0,千葉県,ショッピング
45,本田莉子,https://pics.javhoo.net/2016/02/95f_a.jpg,1991-08-06,155.0,F,88.0,55.0,86.0,,"カメラ,お笑い観賞,映画鑑賞,散歩"
46,北川エリカ（園田ユリア）,https://pics.javhoo.net/2016/02/6vo_a.jpg,1986-12-09,153.0,F,87.0,58.0,86.0,東京都,"エステ,騎乗位,飲みカラオケ,料理"
47,つぼみ,https://pics.javhoo.net/2016/02/1fw_a.jpg,1987-12-25,160.0,D,84.0,58.0,85.0,山口県,"読書,ショッピング,ファンシーグッズ収集,犬の散歩"
48,翔田千里,https://pics.javhoo.net/2016/02/173_a.jpg,1969-01-01,163.0,D,86.0,63.0,90.0,東京都,
49,さとう遥希,https://pics.javhoo.net/2016/02/2lf_a.jpg,1991-12-01,160.0,F,89.0,59.0,88.0,,"カラオケ,お菓子作り"
50,湊莉久,https://pics.javhoo.net/2016/02/8zy_a.jpg,1993-08-01,160.0,E,82.0,58.0,83.0,神奈川県,"運動,読書,料理,買い物"
64,浜崎真緒,https://pics.javhoo.net/2016/02/b6b_a.jpg,1993-10-20,165.0,E,87.0,59.0,86.0,千葉県,音楽鑑賞
65,阿部乃みく,https://pics.javhoo.net/2016/02/m2c_a.jpg,1993-10-18,155.0,C,80.0,60.0,83.0,,カフェ巡り/アニメ鑑賞
66,羽月希,https://pics.javhoo.net/2016/02/2cj_a.jpg,1988-07-31,154.0,F,88.0,60.0,84.0,東京都,"バトミントン,百人一首"
68,山本美和子,https://pics.javhoo.net/2016/02/2uk_a.jpg,1981-05-06,170.0,E,90.0,60.0,88.0,千葉県,人を喜ばせること
69,松本まりな,https://pics.javhoo.net/2016/02/2w0_a.jpg,1969-06-09,158.0,C,82.0,59.0,85.0,神奈川県,
80,高梨あゆみ,https://pics.javhoo.net/2016/02/adb_a.jpg,1989-02-04,157.0,D,83.0,57.0,85.0,岐阜県,小物集め
81,Maika（MEW）,https://pics.javhoo.net/2016/02/pr_a.jpg,1987-05-15,156.0,D,83.0,57.0,85.0,東京都,"歌,笑顔"
82,宇佐美なな,https://pics.javhoo.net/2016/02/309_a.jpg,1992-12-31,158.0,D,85.0,57.0,86.0,,映画鑑賞
83,愛須心亜,https://pics.javhoo.net/2016/02/94z_a.jpg,1995-03-15,143.0,E,82.0,62.0,88.0,山形県,"カラオケ,ボーリング"
84,村上涼子（中村りかこ，黒木菜穂）,https://pics.javhoo.net/2016/02/zh_a.jpg,1977-04-29,158.0,G,88.0,61.0,88.0,,
86,夏目優希,https://pics.javhoo.net/2016/02/7hw_a.jpg,1991-07-31,157.0,B,80.0,55.0,82.0,東京都,ショッピング
87,篠宮ゆり,https://pics.javhoo.net/2016/02/895_a.jpg,1993-03-13,149.0,C,80.0,58.0,80.0,埼玉県,"散歩,アニメ"
98,瀬名あゆむ（広瀬藍子）,https://pics.javhoo.net/2016/02/2gr_a.jpg,1986-11-09,158.0,E,90.0,58.0,88.0,長野県,"歌,ダンス"
99,森ななこ,https://pics.javhoo.net/2016/02/2lg_a.jpg,1985-08-01,164.0,G,94.0,58.0,88.0,兵庫県,"ピアノ,ギター"
104,琥珀うた,https://pics.javhoo.net/2016/02/2ey_a.jpg,1992-02-14,167.0,C,80.0,60.0,88.0,沖縄県,"アニメ,映画鑑賞,クラシックバレエ,ダンス,野球,ソフトボール"
105,冴島かおり,https://pics.javhoo.net/2016/02/8eb_a.jpg,1989-08-16,156.0,F,88.0,58.0,87.0,東京都,
114,保坂えり,https://pics.javhoo.net/2016/02/92f_a.jpg,1993-12-08,165.0,F,91.0,59.0,88.0,,
115,蓮実クレア,https://pics.javhoo.net/2016/02/81j_a.jpg,1991-12-03,158.0,F,86.0,57.0,87.0,神奈川県,ベリーダンス
116,篠田ゆう,https://pics.javhoo.net/2016/02/2pv_a.jpg,1991-07-21,155.0,E,84.0,58.0,82.0,東京都,"DVD,音楽鑑賞,友達と遊ぶ"
123,涼風ことの,https://pics.javhoo.net/2016/02/m83_a.jpg,1995-08-25,165.0,D,85.0,58.0,87.0,,
137,長瀬涼子,https://pics.javhoo.net/2016/02/9qn_a.jpg,1981-03-26,160.0,D,83.0,59.0,86.0,宮城県,"吹奏楽,模写"
138,青山菜々,https://pics.javhoo.net/2016/02/4p5_a.jpg,1984-08-05,155.0,I,99.0,58.0,87.0,,"人間観察,パズル,読書"
139,野宮さとみ,https://pics.javhoo.net/2016/02/2z4_a.jpg,1992-12-14,160.0,F,86.0,57.0,88.0,群馬県,"お菓子作り,スポーツ"
140,水澤まお（永沢まおみ）,https://pics.javhoo.net/2016/02/2gu_a.jpg,1990-06-25,154.0,C,80.0,59.0,90.0,東京都,"DVD鑑賞,買い物"
142,西野翔,https://pics.javhoo.net/2016/02/4ao_a.jpg,1985-06-29,159.0,C,81.0,57.0,83.0,静岡県,"スノーボード,ウェイクボード"
153,稲川なつめ,https://pics.javhoo.net/2016/02/2uj_a.jpg,1991-06-04,171.0,D,84.0,58.0,88.0,滋賀県,ショッピング
154,吉沢明歩,https://pics.javhoo.net/2016/02/2eg_a.jpg,1984-03-03,161.0,E,86.0,58.0,86.0,東京都,"美術館めぐり,料理,テニス"
155,星野あかり,https://pics.javhoo.net/2016/02/4h6_a.jpg,1985-08-24,162.0,E,88.0,58.0,88.0,京都府,"油絵,料理"
156,栗林里莉,https://pics.javhoo.net/2016/02/2eb_a.jpg,1987-04-16,153.0,C,83.0,58.0,80.0,東京都,"アニメ鑑賞,一輪車"
158,吉永あかね,https://pics.javhoo.net/2016/02/8y2_a.jpg,1992-10-30,150.0,I,100.0,59.0,90.0,青森県,写真
159,板垣あずさ,https://pics.javhoo.net/2016/02/5ne_a.jpg,1988-11-23,159.0,E,85.0,58.0,87.0,東京都,"散歩,お昼寝"
172,塚田詩織,https://pics.javhoo.net/2016/02/lsp_a.jpg,1994-03-23,155.0,J,101.0,60.0,95.0,北海道,"読書,舞台鑑賞,英会話,タイピング"
173,加山なつこ,https://pics.javhoo.net/2016/02/2gw_a.jpg,1970-12-23,161.0,G,97.0,65.0,98.0,神奈川県,
